id,time,h,k_level,i_level,yg_level,si_level,lkt,lmt,lyt,lk2,lm2,lkm,kelas_true,ielas_true,yg,k,i,si,kk,ii,ki
1,1,5,44.80582,90.469788,180.431,.50140935,3.8023381,4.5050159,5.1953483,14.457775,20.295168,17.129593,.25,.64999998,5.1953483,3.8023381,4.5050159,-.69033241,14.457775,20.295168,17.129593
1,2,5,38.084949,81.878677,88.33213,.92694104,3.6398191,4.4052386,4.4811039,13.248283,19.406128,16.034271,.25,.64999998,4.4811039,3.6398191,4.4052386,-.075865321,13.248283,19.406128,16.034271
1,3,5,32.372211,117.4861,139.9399,.83954686,3.4773004,4.7663202,4.9412131,12.091619,22.717808,16.573927,.25,.64999998,4.9412131,3.4773004,4.7663202,-.17489299,12.091619,22.717808,16.573927
1,4,5,27.688931,75.186234,197.5208,.38064972,3.3210328,4.3199682,5.2858438,11.029259,18.662125,14.346756,.25,.64999998,5.2858438,3.3210328,4.3199682,-.96587569,11.029259,18.662125,14.346756
1,5,5,23.535589,64.110863,104.0824,.61596256,3.1585138,4.160614,4.6451831,9.9762096,17.310709,13.141356,.25,.64999998,4.6451831,3.1585138,4.160614,-.4845691,9.9762096,17.310709,13.141356
1,6,5,20.005251,90.165642,98.632896,.91415387,2.9959948,4.5016484,4.5914049,8.9759846,20.264839,13.486916,.25,.64999998,4.5914049,2.9959948,4.5016484,-.08975637,8.9759846,20.264839,13.486916
1,7,5,20.94812,273.0972,417.83191,.6536054,3.0420489,5.609828,6.035079,9.2540617,31.470171,17.065371,.25,.64999998,6.035079,3.0420489,5.609828,-.42525148,9.2540617,31.470171,17.065371
1,8,5,154.03999,1155.9821,2460.3369,.46984705,5.0372124,7.0527053,7.8080535,25.373508,49.74065,35.525974,.25,.64999998,7.8080535,5.0372124,7.0527053,-.75534803,25.373508,49.74065,35.525974
1,9,5,160.873,566.12903,955.82373,.59229439,5.080615,6.3388219,6.8625736,25.812649,40.180664,32.205112,.25,.64999998,6.8625736,5.080615,6.3388219,-.5237515,25.812649,40.180664,32.205112
1,10,5,136.7421,374.89081,504.79749,.74265587,4.9180965,5.9266348,6.2241573,24.187674,35.125,29.147762,.25,.64999998,6.2241573,4.9180965,5.9266348,-.29752249,24.187674,35.125,29.147762
1,11,5,116.2307,175.40199,179.8107,.97548139,4.7555771,5.1670804,5.1919045,22.615513,26.698719,24.572449,.25,.64999998,5.1919045,4.7555771,5.1670804,-.024824195,22.615513,26.698719,24.572449
1,12,5,98.796127,331.47601,397.87051,.83312535,4.5930586,5.8035555,5.9861264,21.096188,33.681255,26.656071,.25,.64999998,5.9861264,4.5930586,5.8035555,-.18257116,21.096188,33.681255,26.656071
1,13,5,83.976723,253.964,322.6041,.78723121,4.4305396,5.5371923,5.7764258,19.629681,30.6605,24.532749,.25,.64999998,5.7764258,4.4305396,5.5371923,-.23923329,19.629681,30.6605,24.532749
1,14,5,71.380203,391.29059,764.69092,.51169771,4.2680206,5.9694505,6.6394715,18.216,35.634338,25.477737,.25,.64999998,6.6394715,4.2680206,5.9694505,-.67002124,18.216,35.634338,25.477737
1,15,5,69.204018,119.6155,183.2457,.65276021,4.2370591,4.7842822,5.2108278,17.952669,22.889357,20.271286,.25,.64999998,5.2108278,4.2370591,4.7842822,-.42654544,17.952669,22.889357,20.271286
1,16,5,58.82341,137.2036,236.2469,.58076358,4.0745401,4.9214659,5.4648776,16.601877,24.220827,20.05271,.25,.64999998,5.4648776,4.0745401,4.9214659,-.54341155,16.601877,24.220827,20.05271
1,17,5,49.999901,170.7226,188.3403,.90645814,3.9120209,5.1400399,5.2382503,15.303907,26.42001,20.107944,.25,.64999998,5.2382503,3.9120209,5.1400399,-.098210432,15.303907,26.42001,20.107944
1,18,5,42.49992,235.99651,274.4353,.85993493,3.7495022,5.4638171,5.6147156,14.058766,29.853298,20.486595,.25,.64999998,5.6147156,3.7495022,5.4638171,-.15089856,14.058766,29.853298,20.486595
