"","id","time","h","k_level","i_level","yg_level","si_level","lkt","lmt","lyt","lk2","lm2","lkm","kelas_true","ielas_true","yg","k","i","si","kk","ii","ki","m_y_share","ln_m_y_share","big_Y","errors"
"1",1,1,5,44.80582,90.469788,180.431,0.50140935,3.8023381,4.5050159,5.1953483,14.457775,20.295168,17.129593,0.25,0.64999998,5.1953483,3.8023381,4.5050159,-0.69033241,14.457775,20.295168,17.129593,0.501409336533079,-0.69033247250375,2.13305068897086,0.25745443207133
"2",1,2,5,38.084949,81.878677,88.33213,0.92694104,3.6398191,4.4052386,4.4811039,13.248283,19.406128,16.034271,0.25,0.64999998,4.4811039,3.6398191,4.4052386,-0.075865321,13.248283,19.406128,16.034271,0.926941046253498,-0.0758653117131545,2.09434730552477,-0.35699375767861
"3",1,3,5,32.372211,117.4861,139.9399,0.83954686,3.4773004,4.7663202,4.9412131,12.091619,22.717808,16.573927,0.25,0.64999998,4.9412131,3.4773004,4.7663202,-0.17489299,12.091619,22.717808,16.573927,0.839546834033753,-0.174893016011399,2.22995260306455,-0.259712614710267
"4",1,4,5,27.688931,75.186234,197.5208,0.38064972,3.3210328,4.3199682,5.2858438,11.029259,18.662125,14.346756,0.25,0.64999998,5.2858438,3.3210328,4.3199682,-0.96587569,11.029259,18.662125,14.346756,0.380649703727405,-0.965875739563583,2.05999714547464,0.53278111361755
"5",1,5,5,23.535589,64.110863,104.0824,0.61596256,3.1585138,4.160614,4.6451831,9.9762096,17.310709,13.141356,0.25,0.64999998,4.6451831,3.1585138,4.160614,-0.4845691,9.9762096,17.310709,13.141356,0.615962573883769,-0.484569073976573,1.99872593294394,0.0517777003192248
"6",1,6,5,20.005251,90.165642,98.632896,0.91415387,2.9959948,4.5016484,4.5914049,8.9759846,20.264839,13.486916,0.25,0.64999998,4.5914049,2.9959948,4.5016484,-0.08975637,8.9759846,20.264839,13.486916,0.91415385390286,-0.0897563913844689,2.12666579153835,-0.344660236307561
"7",1,7,5,20.94812,273.0972,417.83191,0.6536054,3.0420489,5.609828,6.035079,9.2540617,31.470171,17.065371,0.25,0.64999998,6.035079,3.0420489,5.609828,-0.42525148,9.2540617,31.470171,17.065371,0.653605417546975,-0.425251446690135,2.55216910136012,-0.0165879934199977
"8",1,8,5,154.03999,1155.9821,2460.3369,0.46984705,5.0372124,7.0527053,7.8080535,25.373508,49.74065,35.525974,0.25,0.64999998,7.8080535,5.0372124,7.0527053,-0.75534803,25.373508,49.74065,35.525974,0.469847076634098,-0.755348006085586,3.11111953375166,0.311561600042392
"9",1,9,5,160.873,566.12903,955.82373,0.59229439,5.080615,6.3388219,6.8625736,25.812649,40.180664,32.205112,0.25,0.64999998,6.8625736,5.080615,6.3388219,-0.5237515,25.812649,40.180664,32.205112,0.592294386748485,-0.523751492785345,2.83461368079052,0.0863203008438198
"10",1,10,5,136.7421,374.89081,504.79749,0.74265587,4.9180965,5.9266348,6.2241573,24.187674,35.125,29.147762,0.25,0.64999998,6.2241573,4.9180965,5.9266348,-0.29752249,24.187674,35.125,29.147762,0.742655851953622,-0.297522528710506,2.67682030763904,-0.138064453090212
"11",1,11,5,116.2307,175.40199,179.8107,0.97548139,4.7555771,5.1670804,5.1919045,22.615513,26.698719,24.572449,0.25,0.64999998,5.1919045,4.7555771,5.1670804,-0.024824195,22.615513,26.698719,24.572449,0.975481381252617,-0.0248242054644011,2.38820545968432,-0.407838413080751
"12",1,12,5,98.796127,331.47601,397.87051,0.83312535,4.5930586,5.8035555,5.9861264,21.096188,33.681255,26.656071,0.25,0.64999998,5.9861264,4.5930586,5.8035555,-0.18257116,21.096188,33.681255,26.656071,0.833125355282049,-0.182571161604185,2.62931493506738,-0.253782282360855
"13",1,13,5,83.976723,253.964,322.6041,0.78723121,4.4305396,5.5371923,5.7764258,19.629681,30.6605,24.532749,0.25,0.64999998,5.7764258,4.4305396,5.5371923,-0.23923329,19.629681,30.6605,24.532749,0.787231160422326,-0.23923335015769,2.52727367322865,-0.196252726335498
"14",1,14,5,71.380203,391.29059,764.69092,0.51169771,4.2680206,5.9694505,6.6394715,18.216,35.634338,25.477737,0.25,0.64999998,6.6394715,4.2680206,5.9694505,-0.67002124,18.216,35.634338,25.477737,0.511697706571434,-0.670021245159962,2.69259954122853,0.230984743761265
