logRGO,IRGO,si,Isi,logRI,IRI,logK,IK,id,year,logL,IL,export,import,sizek,adv,hiwag,wcbc,RGO,RVA,logRVA,IRVA,L,K,RI
11.291509,1,-.19656152,1,11.095666,1,8.2773199,1,10001,81,6.2370567,1,0,0,1,1,1,0,80138.203,14253.269,9.5647421,1,511.35126,3933.6372,65884.93
11.314662,1,-.21261479,1,11.101364,1,8.4598761,1,10001,82,6.2803121,1,0,0,1,1,1,0,82015.32,15753.881,9.6648426,1,533.95538,4721.4712,66261.438
11.361767,1,-.21991238,1,11.14059,1,8.5998564,1,10001,83,6.2913809,1,0,0,1,1,1,0,85971.102,17058.875,9.7444267,1,539.89832,5430.8779,68912.227
11.178207,1,-.23426531,1,10.93937,1,8.6606417,1,10001,84,6.3657136,1,0,0,1,1,1,0,71553.953,15202.144,9.6291924,1,581.55981,5771.2324,56351.813
11.012811,1,-.26656762,1,10.739267,1,8.6335983,1,10001,85,6.2017417,1,0,0,1,1,1,0,60646.086,14513.854,9.582859,1,493.60806,5617.2549,46132.234
10.931821,1,-.25734654,1,10.665291,1,8.6368551,1,10001,86,6.1324372,1,0,0,1,1,1,0,55927.992,13085.281,9.4792433,1,460.55728,5635.5776,42842.711
11.011203,1,-.22748202,1,10.775938,1,8.6746902,1,10001,87,6.3442688,1,0,0,1,1,1,0,60548.668,12693.359,9.4488344,1,569.22107,5852.8848,47855.309
10.900355,1,-.2581571,1,10.635978,1,8.6365185,1,10001,88,6.0470877,1,0,0,1,1,1,0,54195.613,12590.56,9.4407034,1,422.87976,5633.6802,41605.055
10.837869,1,-.20745693,1,10.625474,1,8.6026564,1,10001,89,6.0222321,1,0,0,1,1,1,0,50912.742,9742.416,9.1842451,1,412.49829,5446.1045,41170.328
10.821717,1,-.2215448,1,10.596253,1,8.6863441,1,10001,90,5.8939962,1,0,0,1,1,1,0,50097.012,10112.291,9.2215071,1,362.85236,5921.4912,39984.723
10.822422,1,-.23535374,1,10.584594,1,8.6892443,1,10001,91,5.8857746,1,0,0,1,1,1,0,50132.344,10611.122,9.2696581,1,359.88135,5938.6885,39521.223
8.3756533,1,-.23869556,1,8.1368532,1,6.6604705,1,10002,81,2.9506295,1,0,1,1,1,1,1,4340.1001,921.95544,6.8264966,1,19.117983,780.9184,3418.1445
8.1932726,1,-.18647948,1,8.0092554,1,6.7409196,1,10002,82,2.9450839,1,0,0,1,1,0,1,3616.5352,607.86035,6.409945,1,19.012257,846.33899,3008.6748
8.0336676,1,-.20403804,1,7.8263307,1,6.6870809,1,10002,83,2.9457464,1,0,0,1,1,0,1,3083.0269,577.30743,6.3583751,1,19.024857,801.97797,2505.7192
8.0410862,1,-.20790723,1,7.8305306,1,6.9245763,1,10002,84,2.7793772,1,0,0,0,1,1,1,3105.9846,589.72009,6.3796477,1,16.108986,1016.9632,2516.2644
7.8960509,1,-.20427255,1,7.6911626,1,7.1461453,1,10002,85,2.3617582,1,0,0,1,1,1,1,2686.6519,497.73419,6.2100663,1,10.609589,1269.2043,2188.9177
7.7386765,1,-.19334057,1,7.5455918,1,7.580009,1,10002,86,2.3618481,1,0,0,1,1,1,1,2295.4321,403.0506,5.9990621,1,10.610542,1958.6469,1892.3816
7.5922856,1,-.16997068,1,7.4186368,1,7.5975041,1,10002,87,2.3619027,1,0,0,1,1,1,1,1982.8396,316.08047,5.7559972,1,10.611122,1993.2152,1666.7592
7.4609971,1,-.1930131,1,7.2642646,1,7.5543075,1,10002,88,2.4412572,1,0,0,1,1,1,1,1738.8815,310.5463,5.7383332,1,11.487474,1908.948,1428.3352
7.3776469,1,-.28902948,1,7.0824628,1,7.512651,1,10002,89,2.4537523,1,0,0,1,1,1,1,1599.8215,408.92413,6.0135293,1,11.631912,1831.0621,1190.8975
6.6671596,1,-.34761247,1,6.3025632,1,7.4724879,1,10002,90,2.5054166,1,0,0,1,1,1,1,786.15918,240.18974,5.4814291,1,12.24866,1758.9778,545.96942
,0,,0,,0,,0,10002,91,,0,,,,,,1,,,,0,,,
12.240375,1,-.28851196,1,11.956742,1,9.6792688,1,10003,81,6.9304509,1,0,1,1,1,1,1,206979.3,51114.926,10.841832,1,1022.9551,15982.803,155864.38
12.289739,1,-.26618922,1,12.026734,1,9.7924891,1,10003,82,6.8465362,1,0,1,1,1,1,1,217453.03,50288.477,10.825532,1,940.61731,17898.789,167164.55
12.278483,1,-.2934081,1,11.989452,1,10.040473,1,10003,83,6.879765,1,0,1,1,1,1,1,215019.3,53972.188,10.896225,1,972.39807,22936.215,161047.11
12.262591,1,-.29443809,1,11.972435,1,10.110456,1,10003,84,6.9635148,1,0,1,1,1,1,1,211629.17,53299.539,10.883683,1,1057.3434,24598.879,158329.64
12.384082,1,-.38023558,1,12.00591,1,10.200676,1,10003,85,6.7359476,1,0,1,1,1,1,1,238967.2,75247.836,11.228543,1,842.14099,26921.355,163719.36
12.487078,1,-.51687342,1,11.97228,1,10.289028,1,10003,86,6.7213588,1,0,1,1,1,1,1,264892,106586.98,11.576717,1,829.94458,29408.162,158305.02
12.720526,1,-.51171219,1,12.211946,1,10.5325,1,10003,87,6.9806299,1,1,1,1,1,1,1,334544.44,133366.58,11.800858,1,1075.5958,37515.133,201177.88
12.717758,1,-.50813812,1,12.211728,1,10.691216,1,10003,88,7.0362468,1,0,1,1,1,1,1,333620.06,132485.88,11.794231,1,1137.1119,43967.934,201134.2
12.740836,1,-.59987289,1,12.140456,1,10.724392,1,10003,89,7.0041542,1,0,1,1,1,1,1,341408.72,154110.8,11.945428,1,1101.1985,45451.055,187297.92
12.834974,1,-.55789459,1,12.278246,1,10.762417,1,10003,90,7.0092058,1,0,1,1,1,1,1,375109.66,160141.5,11.983813,1,1106.775,47212.625,214968.16
13.025569,1,-.24634233,1,12.779977,1,10.872622,1,10003,91,7.0462656,1,0,1,1,1,1,1,453871.31,98834.602,11.501204,1,1148.5616,52713.227,355036.69
8.3505011,1,-.1534303,1,8.1954222,1,5.9812846,1,10004,81,3.000196,1,0,0,1,1,1,1,4232.2998,607.98047,6.4101424,1,20.089474,395.94879,3624.3196
8.5414915,1,-.14067137,1,8.3996878,1,6.1221642,1,10004,82,3.263761,1,0,0,0,1,1,1,5122.9785,677.30042,6.5181146,1,26.147697,455.85016,4445.6782
8.5156794,1,-.16396104,1,8.3520374,1,6.1807237,1,10004,83,3.3971403,1,0,0,0,1,1,1,4992.4326,753.62659,6.6248965,1,29.878536,483.34186,4238.8062
8.4272385,1,-.16411562,1,8.2677259,1,6.2513051,1,10004,84,3.365314,1,0,0,0,1,1,1,4569.8618,673.78357,6.5129094,1,28.942581,518.68939,3896.0781
8.1546326,1,-.18764623,1,7.9735265,1,6.3306289,1,10004,85,3.3557405,1,0,0,0,1,1,1,3479.4578,576.3797,6.3567662,1,28.666824,561.50958,2903.0781
8.0195637,1,-.17897472,1,7.8443131,1,6.3915353,1,10004,86,3.3818607,1,0,0,0,1,1,1,3039.8496,488.66464,6.1916766,1,29.425474,596.77222,2551.1851
8.4402781,1,-.20380628,1,8.2360144,1,6.3288817,1,10004,87,3.6081431,1,0,0,0,1,0,0,4629.8408,855.37463,6.7515397,1,36.897472,560.52966,3774.4663
8.3270006,1,-.23228,1,8.101449,1,6.7048116,1,10004,88,3.3845706,1,0,0,0,1,1,0,4133.9995,834.7547,6.727138,1,29.505323,816.32391,3299.2449
