Column1,ID,Year,h,K,M,Y
1,1,171,5,44.80582,90.46979,180.431
2,1,172,5,38.08495,81.87868,88.33213
3,1,173,5,32.37221,117.4861,139.9399
4,1,174,5,27.68893,75.18623,197.5208
5,1,175,5,23.53559,64.11086,104.0824
6,1,176,5,20.00525,90.16564,98.6329
7,1,177,5,20.94812,273.0972,417.8319
8,1,178,5,154.04,1155.982,2460.337
9,1,179,5,160.873,566.129,955.8237
10,1,180,5,136.7421,374.8908,504.7975
11,1,181,5,116.2307,175.402,179.8107
12,1,182,5,98.79613,331.476,397.8705
13,1,183,5,83.97672,253.964,322.6041
14,1,184,5,71.3802,391.2906,764.6909
15,1,185,5,69.20402,119.6155,183.2457
16,1,186,5,58.82341,137.2036,236.2469
17,1,187,5,49.9999,170.7226,188.3403
18,1,188,5,42.49992,235.9965,274.4353
19,1,189,5,48.56783,215.0899,319.5729
20,1,190,5,42.8643,93.44207,153.3962
21,1,191,5,36.43465,77.83366,96.02383
22,1,192,5,30.96946,58.80534,73.94032
23,1,193,5,26.32404,72.28606,110.409
24,1,194,5,22.37543,59.2412,101.1705
25,1,195,5,19.01912,33.99626,46.92386
26,1,196,5,16.16625,68.57039,119.738
27,1,197,5,15.7514,81.20355,110.3939
28,1,198,5,21.92166,102.0576,105.2326
29,1,199,5,22.90976,134.1083,192.4967
30,1,200,5,35.57088,78.8245,124.5517
31,2,171,2,961.0543,2001.954,4459.766
32,2,172,2,888.9752,2207.798,2673.942
33,2,173,2,822.3021,1415.268,1578.094
34,2,174,2,760.6295,1056.781,1906.296
35,2,175,2,703.5822,1003.787,2420.956
36,2,176,2,650.8135,1940.845,3789.667
37,2,177,2,602.0026,2838.753,4504.851
38,2,178,2,822.5214,2177.824,3829.005
39,2,179,2,760.8323,806.658,1242.172
40,2,180,2,703.7698,729.7622,1199.632
41,2,181,2,650.9871,980.3954,1676.803
42,2,182,2,602.1631,959.5686,1629.123
43,2,183,2,557.0009,1510.504,2343.169
44,2,184,2,518.2092,790.0855,1721.969
45,2,185,2,479.3436,621.7875,941.3413
46,2,186,2,443.3928,603.8542,937.9365
47,2,187,2,410.1383,300.777,411.3834
48,2,188,2,379.378,226.6516,639.918
49,2,189,2,350.9246,63.22907,74.63686
50,2,190,2,324.6053,239.9153,375.4913
51,2,191,2,300.2599,238.3565,495.8225
52,2,192,2,277.7404,308.5632,416.098
53,2,193,2,256.9099,91.99348,59.91239
54,2,194,2,237.6416,84.85608,102.0805
55,2,195,2,219.8185,105.2955,148.4921
56,2,196,2,203.3321,63.68784,93.58285
57,2,197,2,188.0822,50.3704,89.78619
58,2,198,2,173.976,82.59876,131.145
59,2,199,2,160.9278,153.3987,343.5796
60,2,200,2,148.8582,278.6399,525.2563
61,3,171,1,845.1248,667.3052,1190.063
62,3,172,1,802.8686,555.8821,800.6461
63,3,173,1,762.7252,285.0457,581.8871
64,3,174,1,724.5889,639.6708,742.3588
65,3,175,1,688.3594,557.931,1279.426
66,3,176,1,653.9415,304.6104,592.3475
67,3,177,1,621.2444,553.285,689.7851
68,3,178,1,590.1822,657.9542,1163.032
69,3,179,1,560.673,214.8992,267.6153
70,3,180,1,532.6394,219.5884,309.1191
71,3,181,1,506.0074,104.8077,116.1531
72,3,182,1,480.7071,56.13985,98.0266
73,3,183,1,456.6717,101.5699,180.1334
74,3,184,1,433.8381,140.249,284.0363
75,3,185,1,412.1462,107.1306,114.4662
76,3,186,1,391.5389,74.15633,115.2389
77,3,187,1,371.962,107.3759,210.6468
78,3,188,1,353.3639,90.53896,111.3739
79,3,189,1,335.6957,152.9334,162.5155
80,3,190,1,318.9109,156.1781,210.4717
81,3,191,1,302.9653,222.2002,224.1405
82,3,192,1,287.8171,149.6384,265.9308
83,3,193,1,273.4262,44.54979,41.60296
84,3,194,1,259.7549,133.7849,194.4031
85,3,195,1,246.7672,100.5297,205.522
86,3,196,1,234.4288,142.5255,166.6938
87,3,197,1,222.7074,166.7789,239.8278
88,3,198,1,211.572,114.6372,126.159
89,3,199,1,200.9934,189.4976,236.2582
90,3,200,1,190.9437,131.2005,208.128
91,4,171,1,849.7815,636.4847,924.1086
92,4,172,1,807.2924,851.3669,1760.359
93,4,173,1,766.9278,1242.025,1778.701
94,4,174,1,728.5814,981.2983,1101.383
95,4,175,1,692.1523,394.6342,534.9351
96,4,176,1,657.5447,118.6724,155.2213
97,4,177,1,624.6675,110.5602,140.8108
98,4,178,1,593.4341,229.9517,317.1074
99,4,179,1,563.7624,71.33829,167.4538
100,4,180,1,535.5743,103.0316,163.5356
101,4,181,1,508.7956,85.31953,107.6034
102,4,182,1,483.3558,100.9375,93.63885
103,4,183,1,459.188,157.6465,273.7963
104,4,184,1,436.2286,221.3181,324.9909
105,4,185,1,414.4172,407.0091,748.705
106,4,186,1,393.6963,225.567,418.2339
107,4,187,1,374.0115,196.0314,313.2417
108,4,188,1,355.3109,180.8924,146.2486
109,4,189,1,337.5454,57.94508,101.622
110,4,190,1,320.6681,108.7582,167.1143
111,4,191,1,304.6347,227.521,426.3122
112,4,192,1,289.403,320.3189,494.9406
113,4,193,1,274.9328,323.237,502.33
114,4,194,1,261.1862,177.6081,475.1329
115,4,195,1,248.1269,162.7094,200.7908
116,4,196,1,235.7205,560.3774,989.7723
117,4,197,1,340.5436,1256.713,2031.835
118,4,198,1,961.0235,339.2655,722.3502
119,4,199,1,912.9724,243.7213,263.3978
120,4,200,1,867.3237,193.5507,397.4209
121,5,171,4,147.315,159.8572,159.8668
122,5,172,4,128.9006,154.3225,349.3602
123,5,173,4,112.788,209.5912,341.2498
124,5,174,4,98.68951,499.3382,689.7856
125,5,175,4,104.4419,280.985,570.9778
126,5,176,4,91.38666,89.89422,225.8352
127,5,177,4,79.96333,61.30894,109.9732
128,5,178,4,69.96791,112.1045,196.7307
129,5,179,4,61.22192,94.79369,103.6823
130,5,180,4,53.56918,73.45626,91.33383
131,5,181,4,46.87304,97.95194,165.6917
132,5,182,4,41.0139,69.56739,103.187
133,5,183,4,35.88717,21.4299,39.38551
134,5,184,4,31.40127,10.32937,15.76389
135,5,185,4,27.47611,20.2241,29.05563
136,5,186,4,24.0416,26.25925,27.36844
137,5,187,4,21.0364,20.79911,24.65478
138,5,188,4,18.40685,11.87406,18.94945
139,5,189,4,16.10599,11.66909,16.49572
140,5,190,4,14.09274,14.29667,18.3106
141,5,191,4,12.33115,6.926822,11.45507
142,5,192,4,10.78976,16.86952,27.97995
143,5,193,4,9.441037,9.084948,14.13572
144,5,194,4,8.260907,13.91436,17.82494
145,5,195,4,7.228294,9.48735,12.08324
146,5,196,4,6.324757,6.493246,8.497401
147,5,197,4,5.534163,9.21424,7.955887
148,5,198,4,4.842392,7.471156,9.459434
149,5,199,4,4.237093,15.40893,31.51308
150,5,200,4,6.087998,13.21054,24.57533
151,6,171,1,947.211,2287.374,3642.62
152,6,172,1,938.0307,4789.418,9322.354
153,6,173,1,1519.152,3335.657,4736.211
154,6,174,1,1443.195,1486.666,2279.841
155,6,175,1,1371.035,1487.55,1496.901
156,6,176,1,1302.483,1356.177,1646.056
157,6,177,1,1237.359,1309.677,2459.823
158,6,178,1,1175.491,1481.744,2869.385
159,6,179,1,1116.717,604.2535,872.9372
160,6,180,1,1060.881,1120.741,2014.957
161,6,181,1,1007.837,1620.21,1649.634
162,6,182,1,957.445,1387.53,4094.688
163,6,183,1,909.5728,1539.097,1952.049
164,6,184,1,864.0941,1213.82,1676.628
165,6,185,1,820.8894,1186.028,1520.734
166,6,186,1,779.8449,1872.427,3533.868
167,6,187,1,825.1365,2559.553,2646.948
168,6,188,1,961.0453,1587.25,3510.195
169,6,189,1,912.993,917.1439,1710.299
170,6,190,1,867.3434,566.3516,1125.088
171,6,191,1,823.9762,306.4171,351.3206
172,6,192,1,782.7774,428.9811,612.7223
173,6,193,1,743.6385,238.1708,532.415
174,6,194,1,706.4566,261.2836,540.0025
175,6,195,1,671.1338,102.0041,238.5665
176,6,196,1,637.5771,283.4954,392.4789
177,6,197,1,605.6982,348.0599,519.8165
178,6,198,1,575.4133,816.2744,1263.903
179,6,199,1,546.6426,681.2734,1150.668
180,6,200,1,519.3105,278.2228,813.2001
181,7,171,5,127.8079,67.2603,108.0928
182,7,172,5,108.6367,136.1744,212.2373
183,7,173,5,92.34122,64.78009,142.6877
184,7,174,5,78.49004,58.06948,98.58483
185,7,175,5,66.71653,95.41218,166.0516
186,7,176,5,56.70905,39.12653,29.14344
187,7,177,5,48.20269,78.67184,151.0691
188,7,178,5,40.97229,59.23277,112.2985
189,7,179,5,34.82645,36.27873,42.93572
190,7,180,5,29.60248,58.39386,114.3624
191,7,181,5,25.16211,41.62699,89.65497
192,7,182,5,21.38779,72.91881,193.9288
193,7,183,5,18.4886,68.27116,102.7745
194,7,184,5,16.53752,62.56316,170.7988
195,7,185,5,15.05495,45.46786,38.55338
196,7,186,5,12.87068,18.05153,30.20695
197,7,187,5,10.94008,15.09435,15.73776
198,7,188,5,9.299068,22.82685,41.55663
199,7,189,5,7.904208,12.80519,24.96011
200,7,190,5,6.718577,37.05457,81.68969
201,7,191,5,15.44238,54.00345,78.8737
202,7,192,5,13.42024,16.92598,28.03611
203,7,193,5,11.4072,5.849426,10.42997
204,7,194,5,9.696122,6.240047,10.01069
205,7,195,5,8.241704,12.49405,14.3041
206,7,196,5,7.005448,5.112703,7.410553
207,7,197,5,5.954631,4.137897,7.910907
208,7,198,5,5.061436,1.709442,1.823763
209,7,199,5,4.302221,7.887807,11.96787
210,7,200,5,3.656888,7.995952,15.89463
211,8,171,3,29.89622,37.22422,47.61193
212,8,172,3,26.9066,63.83221,69.10793
213,8,173,3,24.7456,77.59471,95.86958
214,8,174,3,27.364,29.97753,56.47686
215,8,175,3,24.6276,49.79663,80.68736
216,8,176,3,22.168,29.16765,46.02559
217,8,177,3,19.9512,30.81936,54.47497
218,8,178,3,17.95608,50.88474,63.66213
219,8,179,3,20.86395,27.11355,33.6213
220,8,180,3,18.77756,32.80486,51.54805
221,8,181,3,16.8998,21.87664,38.63636
222,8,182,3,15.20982,17.76497,20.31285
223,8,183,3,13.68884,8.370333,11.7559
224,8,184,3,12.31996,6.131875,6.891373
225,8,185,3,11.08796,11.55418,15.46833
226,8,186,3,9.979165,31.13569,53.96789
227,8,187,3,17.65464,30.0425,35.50884
228,8,188,3,15.88918,27.15584,44.98011
229,8,189,3,14.30026,21.20781,15.5648
230,8,190,3,12.87023,53.68263,142.9853
231,8,191,3,33.05189,131.2975,107.6834
232,8,192,3,50.31847,295.608,454.179
233,8,193,3,149.0846,284.7386,322.3002
234,8,194,3,134.1762,1080.904,2321.878
235,8,195,3,449.8983,1190.432,1221.985
236,8,196,3,404.9084,648.2559,859.7081
237,8,197,3,364.4176,548.7233,634.8233
238,8,198,3,327.9758,568.5096,829.7213
239,8,199,3,295.1783,637.3733,974.1738
240,8,200,3,265.6604,605.8616,835.5254
241,9,171,4,12.89371,17.74756,24.34937
242,9,172,4,11.28199,18.75307,26.41753
243,9,173,4,9.871743,21.17051,22.2965
244,9,174,4,8.637775,17.34464,27.72484
245,9,175,4,7.558054,6.161728,7.827009
246,9,176,4,6.613297,4.64139,9.505022
247,9,177,4,5.786635,12.53032,21.20069
248,9,178,4,5.117475,6.768311,12.5148
249,9,179,4,4.477791,5.213212,4.597864
250,9,180,4,3.918067,6.527734,8.593863
251,9,181,4,3.428308,5.12982,7.088769
252,9,182,4,2.99977,5.177693,6.956445
253,9,183,4,2.624799,1.211999,1.512271
254,9,184,4,2.296699,1.196284,0.992981
255,9,185,4,2.009611,2.55909,5.332706
256,9,186,4,1.75841,2.191456,5.582642
257,9,187,4,1.538609,2.273511,3.795969
258,9,188,4,1.355344,1.0,1.285164
259,9,189,4,1.234436,2.202065,3.821202
260,9,190,4,1.154667,1.181924,1.687199
261,9,191,4,1.102041,2.173217,3.311704
262,9,192,4,1.114867,1.052251,1.861173
263,9,193,4,1.075783,1.644876,2.83445
264,9,194,4,1.049997,1.013324,1.745662
265,9,195,4,1.032985,2.980848,4.808255
266,9,196,4,1.641752,2.111493,2.523671
267,9,197,4,1.436533,1.704821,2.408053
268,9,198,4,1.288,2.100999,3.599812
269,9,199,4,1.190006,3.425216,4.603405
270,9,200,4,1.847478,5.253266,9.012688
271,10,171,1,1175.491,208.1224,318.7901
272,10,172,1,1116.716,158.3646,274.5433
273,10,173,1,1060.88,144.4658,329.9556
274,10,174,1,1007.836,261.4334,481.6408
275,10,175,1,957.4445,212.8409,486.7977
276,10,176,1,909.5723,78.93649,162.2197
277,10,177,1,864.0937,87.61433,119.048
278,10,178,1,820.889,420.9417,493.5491
279,10,179,1,779.8445,291.5968,234.5523
280,10,180,1,740.8524,749.6458,1038.38
281,10,181,1,703.8097,131.4565,193.6945
282,10,182,1,668.6192,391.7891,943.3804
283,10,183,1,635.1883,336.5664,767.0369
284,10,184,1,603.4288,194.3494,606.1785
285,10,185,1,573.2574,289.4378,280.6421
286,10,186,1,544.5945,306.1289,448.7658
287,10,187,1,517.3648,321.1937,415.575
288,10,188,1,491.4966,528.5765,990.9603
289,10,189,1,466.9218,394.8707,849.4037
290,10,190,1,443.5757,182.0173,281.9977
291,10,191,1,421.3969,538.7368,779.1885
292,10,192,1,400.327,800.9637,2491.484
293,10,193,1,391.0204,1136.191,1768.76
294,10,194,1,709.1509,1843.281,2167.771
295,10,195,1,852.6208,1592.48,3023.262
296,10,196,1,812.4712,1473.932,2763.331
297,10,197,1,772.93,1107.685,1512.163
298,10,198,1,734.2834,968.2305,2255.62
299,10,199,1,697.5693,662.7335,870.2983
300,10,200,1,662.6909,432.6056,824.5231
301,11,171,5,42.81029,213.5768,244.845
302,11,172,5,40.57742,365.3898,723.8107
303,11,173,5,147.5407,817.342,1049.402
304,11,174,5,132.9311,426.4226,675.5139
305,11,175,5,112.9914,233.6996,253.7645
306,11,176,5,96.04271,94.87892,84.17625
307,11,177,5,81.63631,43.63269,104.7215
308,11,178,5,69.39086,142.504,244.8751
309,11,179,5,58.98223,68.12585,82.76641
310,11,180,5,50.1349,68.51123,170.9732
311,11,181,5,42.61466,101.061,170.4026
312,11,182,5,36.22246,122.6765,167.5449
313,11,183,5,30.78909,238.3803,296.9679
314,11,184,5,83.61808,963.994,1853.176
315,11,185,5,350.6922,1936.939,2728.771
316,11,186,5,298.0883,1772.568,2397.337
317,11,187,5,253.3751,1004.743,1147.307
318,11,188,5,215.3688,214.4119,264.8414
319,11,189,5,183.0635,161.7163,204.6454
320,11,190,5,155.604,217.5975,320.7183
321,11,191,5,132.2634,178.3317,343.9078
322,11,192,5,112.4239,84.64766,106.6973
323,11,193,5,95.56029,190.3704,456.5254
324,11,194,5,81.22625,36.83406,49.13149
325,11,195,5,69.04231,66.59529,112.3101
326,11,196,5,58.68596,106.8586,260.6723
327,11,197,5,49.88307,32.62509,42.17271
328,11,198,5,42.40061,34.54719,109.3107
329,11,199,5,36.04052,25.1419,35.08858
330,11,200,5,30.63444,38.92714,96.18819
331,12,171,1,1519.151,5888.954,10093.58
332,12,172,1,1519.15,2814.683,2463.655
333,12,173,1,1443.193,1583.107,2617.865
334,12,174,1,1371.033,2081.161,2310.234
335,12,175,1,1302.481,5096.475,5399.566
336,12,176,1,1519.152,6000.0,6351.625
337,12,177,1,2401.297,4308.767,7079.124
338,12,178,1,2281.232,3120.278,8921.94
339,12,179,1,2167.171,5812.35,11837.43
340,12,180,1,2078.973,5494.789,13083.82
341,12,181,1,1993.437,2650.133,3935.619
342,12,182,1,1893.765,2551.243,3656.922
343,12,183,1,1799.077,1361.358,1899.044
344,12,184,1,1709.123,574.0072,803.9622
345,12,185,1,1623.667,482.1616,903.886
346,12,186,1,1542.484,699.9803,628.4313
347,12,187,1,1465.359,1696.389,1943.013
348,12,188,1,1392.091,1208.067,1652.817
349,12,189,1,1322.487,914.4359,1280.089
350,12,190,1,1256.363,884.9005,763.356
351,12,191,1,1193.544,1876.764,2203.074
352,12,192,1,1133.867,1547.693,3598.045
353,12,193,1,1077.174,2232.713,3921.069
354,12,194,1,1026.0,1909.956,2054.428
355,12,195,1,974.7003,687.9266,1350.805
356,12,196,1,925.9653,671.9252,845.2548
357,12,197,1,879.667,1055.539,2271.428
358,12,198,1,835.6837,1334.117,2434.366
359,12,199,1,793.8995,2311.551,4363.214
360,12,200,1,961.0167,3124.003,5112.006
361,13,171,5,11.40007,39.73157,72.13174
362,13,172,5,10.52894,40.87123,74.83823
363,13,173,5,10.74122,36.71888,47.7145
364,13,174,5,9.920058,49.26752,63.38044
365,13,175,5,15.56426,59.2263,95.55734
